DATE,T2M,PRECTOT,RH2M
1/1/2000,25.84,1.91,87.27
1/2/2000,25.21,0.72,91.6
1/3/2000,25.02,0.06,88.16
1/4/2000,25.1,0.06,89.18
1/5/2000,25.89,0.52,85.62
1/6/2000,25.96,6.23,84.4
1/7/2000,26.04,6.8,82.06
1/8/2000,24.65,11.36,91.51
1/9/2000,25.23,0.52,86.28
1/10/2000,24.86,4.86,89.26
1/11/2000,24.91,8.82,90.12
1/12/2000,24.77,3.22,90.89
1/13/2000,25.08,1.02,88.53
1/14/2000,25.24,5.14,88.61
1/15/2000,24.96,0.9,90
1/16/2000,25.05,2.21,88.21
1/17/2000,25,13.86,86.92
1/18/2000,24.82,64.83,90.27
1/19/2000,24.51,26.94,89.04
1/20/2000,24.84,8.79,90.24
1/21/2000,25.41,5.09,88
1/22/2000,25.14,5.96,88.9
1/23/2000,25.73,8.9,85.39
1/24/2000,25.83,11.19,88.65
1/25/2000,24.85,14.32,90.25
1/26/2000,25.72,6.43,85.59
1/27/2000,25.93,4.07,85.23
1/28/2000,25.51,10.1,88.07
1/29/2000,25.24,18.74,90.77
1/30/2000,24.93,39.65,90.47
1/31/2000,25.11,32.32,90.94
2/1/2000,24.9,13.3,91.27
2/2/2000,25.6,7.31,88.6
2/3/2000,25.1,14.91,91.25
2/4/2000,25.19,54.31,92.29
2/5/2000,25.44,32.2,89.53
2/6/2000,25.06,14.3,90.88
2/7/2000,25.13,31.29,92.13
2/8/2000,24.95,46.34,92.53
2/9/2000,25.07,13.34,90.54
2/10/2000,25.6,2.93,84.92
2/11/2000,24.87,3.29,87.76
2/12/2000,25.51,1.9,84.53
2/13/2000,25.55,0.61,81.75
2/14/2000,25.77,0.69,84.51
2/15/2000,25.61,6.29,85.98
2/16/2000,25.91,0.89,83.39
2/17/2000,25.6,8.96,88.05
2/18/2000,25.54,14.75,87.64
2/19/2000,24.92,11.98,90.87
2/20/2000,24.73,31.24,92.04
2/21/2000,25.02,18.72,88.62
2/22/2000,25.25,2.05,87.44
2/23/2000,25.82,0.14,83.49
2/24/2000,25.5,10.47,89.08
2/25/2000,25.52,70.2,90
2/26/2000,25.09,34.37,89.2
2/27/2000,25.11,4.71,87.79
2/28/2000,25.77,0.28,85.49
2/29/2000,26.04,1.96,85.55
3/1/2000,25.69,1.12,84.15
3/2/2000,25.9,0.5,84.98
3/3/2000,25.55,0.86,87.92
3/4/2000,25.06,1.47,86.47
3/5/2000,25.47,0.73,83.28
3/6/2000,25.46,1.09,81.71
3/7/2000,26.08,8.78,80.61
3/8/2000,24.88,8.45,88.6
3/9/2000,25.75,1.41,81.53
3/10/2000,25.28,21.37,88.81
3/11/2000,25.69,1.26,83.4
3/12/2000,25.64,4.96,86.67
3/13/2000,25.28,12.07,88.08
3/14/2000,25.02,18.86,89.43
3/15/2000,25.03,6.82,89.98
3/16/2000,25.21,11.75,89.65
3/17/2000,25.29,6.13,87.33
3/18/2000,24.82,4.06,89.74
3/19/2000,25.47,9.41,84.91
3/20/2000,25.9,6.45,87.26
3/21/2000,24.86,11.59,92.6
3/22/2000,25,3.64,90.04
3/23/2000,25.21,1.04,86.31
3/24/2000,25.35,0.3,84.24
3/25/2000,25.07,0.91,86.34
3/26/2000,26,0.22,80.9
3/27/2000,25.47,0.98,84.98
3/28/2000,26.05,2.78,83.1
3/29/2000,25.96,10.53,87.22
3/30/2000,26.28,5.43,83.35
3/31/2000,25.54,2.65,89.01
4/1/2000,25.7,1.65,84.71
4/2/2000,26.19,0.94,84.2
4/3/2000,25.63,1.47,88.08
4/4/2000,25.42,30.13,90.83
4/5/2000,25.25,8.33,88.88
4/6/2000,25.71,2.36,86.77
4/7/2000,25.01,1.72,90.26
4/8/2000,25.72,4.49,86.06
4/9/2000,25.68,4.35,85.9
4/10/2000,25.85,0.87,83.91
