LAT,LON,DATE,RH2M
-4.91399,119.84101,1/1/2000,87.27
-4.91399,119.84101,1/2/2000,91.6
-4.91399,119.84101,1/3/2000,88.16
-4.91399,119.84101,1/4/2000,89.18
-4.91399,119.84101,1/5/2000,85.62
-4.91399,119.84101,1/6/2000,84.4
-4.91399,119.84101,1/7/2000,82.06
-4.91399,119.84101,1/8/2000,91.51
-4.91399,119.84101,1/9/2000,86.28
-4.91399,119.84101,1/10/2000,89.26
-4.91399,119.84101,1/11/2000,90.12
-4.91399,119.84101,1/12/2000,90.89
-4.91399,119.84101,1/13/2000,88.53
-4.91399,119.84101,1/14/2000,88.61
-4.91399,119.84101,1/15/2000,90
-4.91399,119.84101,1/16/2000,88.21
-4.91399,119.84101,1/17/2000,86.92
-4.91399,119.84101,1/18/2000,90.27
-4.91399,119.84101,1/19/2000,89.04
-4.91399,119.84101,1/20/2000,90.24
-4.91399,119.84101,1/21/2000,88
-4.91399,119.84101,1/22/2000,88.9
-4.91399,119.84101,1/23/2000,85.39
-4.91399,119.84101,1/24/2000,88.65
-4.91399,119.84101,1/25/2000,90.25
-4.91399,119.84101,1/26/2000,85.59
-4.91399,119.84101,1/27/2000,85.23
-4.91399,119.84101,1/28/2000,88.07
-4.91399,119.84101,1/29/2000,90.77
-4.91399,119.84101,1/30/2000,90.47
-4.91399,119.84101,1/31/2000,90.94
-4.91399,119.84101,2/1/2000,91.27
-4.91399,119.84101,2/2/2000,88.6
-4.91399,119.84101,2/3/2000,91.25
-4.91399,119.84101,2/4/2000,92.29
-4.91399,119.84101,2/5/2000,89.53
-4.91399,119.84101,2/6/2000,90.88
-4.91399,119.84101,2/7/2000,92.13
-4.91399,119.84101,2/8/2000,92.53
-4.91399,119.84101,2/9/2000,90.54
-4.91399,119.84101,2/10/2000,84.92
-4.91399,119.84101,2/11/2000,87.76
-4.91399,119.84101,2/12/2000,84.53
-4.91399,119.84101,2/13/2000,81.75
-4.91399,119.84101,2/14/2000,84.51
-4.91399,119.84101,2/15/2000,85.98
-4.91399,119.84101,2/16/2000,83.39
-4.91399,119.84101,2/17/2000,88.05
-4.91399,119.84101,2/18/2000,87.64
-4.91399,119.84101,2/19/2000,90.87
-4.91399,119.84101,2/20/2000,92.04
-4.91399,119.84101,2/21/2000,88.62
-4.91399,119.84101,2/22/2000,87.44
-4.91399,119.84101,2/23/2000,83.49
-4.91399,119.84101,2/24/2000,89.08
-4.91399,119.84101,2/25/2000,90
-4.91399,119.84101,2/26/2000,89.2
-4.91399,119.84101,2/27/2000,87.79
-4.91399,119.84101,2/28/2000,85.49
-4.91399,119.84101,2/29/2000,85.55
-4.91399,119.84101,3/1/2000,84.15
-4.91399,119.84101,3/2/2000,84.98
-4.91399,119.84101,3/3/2000,87.92
-4.91399,119.84101,3/4/2000,86.47
-4.91399,119.84101,3/5/2000,83.28
-4.91399,119.84101,3/6/2000,81.71
-4.91399,119.84101,3/7/2000,80.61
-4.91399,119.84101,3/8/2000,88.6
-4.91399,119.84101,3/9/2000,81.53
-4.91399,119.84101,3/10/2000,88.81
