LAT,LON,DATE,PRECTOT
-4.96019,119.56881,1/1/2000,1.91
-4.96019,119.56881,1/2/2000,0.72
-4.96019,119.56881,1/3/2000,0.06
-4.96019,119.56881,1/4/2000,0.06
-4.96019,119.56881,1/5/2000,0.52
-4.96019,119.56881,1/6/2000,6.23
-4.96019,119.56881,1/7/2000,6.8
-4.96019,119.56881,1/8/2000,11.36
-4.96019,119.56881,1/9/2000,0.52
-4.96019,119.56881,1/10/2000,4.86
-4.96019,119.56881,1/11/2000,8.82
-4.96019,119.56881,1/12/2000,3.22
-4.96019,119.56881,1/13/2000,1.02
-4.96019,119.56881,1/14/2000,5.14
-4.96019,119.56881,1/15/2000,0.9
-4.96019,119.56881,1/16/2000,2.21
-4.96019,119.56881,1/17/2000,13.86
-4.96019,119.56881,1/18/2000,64.83
-4.96019,119.56881,1/19/2000,26.94
-4.96019,119.56881,1/20/2000,8.79
-4.96019,119.56881,1/21/2000,5.09
-4.96019,119.56881,1/22/2000,5.96
-4.96019,119.56881,1/23/2000,8.9
-4.96019,119.56881,1/24/2000,11.19
-4.96019,119.56881,1/25/2000,14.32
-4.96019,119.56881,1/26/2000,6.43
-4.96019,119.56881,1/27/2000,4.07
-4.96019,119.56881,1/28/2000,10.1
-4.96019,119.56881,1/29/2000,18.74
-4.96019,119.56881,1/30/2000,39.65
-4.96019,119.56881,1/31/2000,32.32
-4.96019,119.56881,2/1/2000,13.3
-4.96019,119.56881,2/2/2000,7.31
-4.96019,119.56881,2/3/2000,14.91
-4.96019,119.56881,2/4/2000,54.31
-4.96019,119.56881,2/5/2000,32.2
-4.96019,119.56881,2/6/2000,14.3
-4.96019,119.56881,2/7/2000,31.29
-4.96019,119.56881,2/8/2000,46.34
-4.96019,119.56881,2/9/2000,13.34
-4.96019,119.56881,2/10/2000,2.93
-4.96019,119.56881,2/11/2000,3.29
-4.96019,119.56881,2/12/2000,1.9
-4.96019,119.56881,2/13/2000,0.61
-4.96019,119.56881,2/14/2000,0.69
-4.96019,119.56881,2/15/2000,6.29
-4.96019,119.56881,2/16/2000,0.89
-4.96019,119.56881,2/17/2000,8.96
-4.96019,119.56881,2/18/2000,14.75
-4.96019,119.56881,2/19/2000,11.98
-4.96019,119.56881,2/20/2000,31.24
-4.96019,119.56881,2/21/2000,18.72
-4.96019,119.56881,2/22/2000,2.05
-4.96019,119.56881,2/23/2000,0.14
-4.96019,119.56881,2/24/2000,10.47
-4.96019,119.56881,2/25/2000,70.2
-4.96019,119.56881,2/26/2000,34.37
-4.96019,119.56881,2/27/2000,4.71
-4.96019,119.56881,2/28/2000,0.28
-4.96019,119.56881,2/29/2000,1.96
-4.96019,119.56881,3/1/2000,1.12
-4.96019,119.56881,3/2/2000,0.5
-4.96019,119.56881,3/3/2000,0.86
-4.96019,119.56881,3/4/2000,1.47
-4.96019,119.56881,3/5/2000,0.73
-4.96019,119.56881,3/6/2000,1.09
-4.96019,119.56881,3/7/2000,8.78
-4.96019,119.56881,3/8/2000,8.45
-4.96019,119.56881,3/9/2000,1.41
-4.96019,119.56881,3/10/2000,21.37
-4.96019,119.56881,3/11/2000,1.26
-4.96019,119.56881,3/12/2000,4.96
-4.96019,119.56881,3/13/2000,12.07
-4.96019,119.56881,3/14/2000,18.86
-4.96019,119.56881,3/15/2000,6.82
-4.96019,119.56881,3/16/2000,11.75
-4.96019,119.56881,3/17/2000,6.13
-4.96019,119.56881,3/18/2000,4.06
-4.96019,119.56881,3/19/2000,9.41
-4.96019,119.56881,3/20/2000,6.45
-4.96019,119.56881,3/21/2000,11.59
-4.96019,119.56881,3/22/2000,3.64
-4.96019,119.56881,3/23/2000,1.04
-4.96019,119.56881,3/24/2000,0.3
-4.96019,119.56881,3/25/2000,0.91
-4.96019,119.56881,3/26/2000,0.22
-4.96019,119.56881,3/27/2000,0.98
-4.96019,119.56881,3/28/2000,2.78
-4.96019,119.56881,3/29/2000,10.53
-4.96019,119.56881,3/30/2000,5.43
