LAT,LON,DATE,T2M
-4.96019,119.56881,1/1/2000,25.84
-4.96019,119.56881,1/2/2000,25.21
-4.96019,119.56881,1/3/2000,25.02
-4.96019,119.56881,1/4/2000,25.1
-4.96019,119.56881,1/5/2000,25.89
-4.96019,119.56881,1/6/2000,25.96
-4.96019,119.56881,1/7/2000,26.04
-4.96019,119.56881,1/8/2000,24.65
-4.96019,119.56881,1/9/2000,25.23
-4.96019,119.56881,1/10/2000,24.86
-4.96019,119.56881,1/11/2000,24.91
-4.96019,119.56881,1/12/2000,24.77
-4.96019,119.56881,1/13/2000,25.08
-4.96019,119.56881,1/14/2000,25.24
-4.96019,119.56881,1/15/2000,24.96
-4.96019,119.56881,1/16/2000,25.05
-4.96019,119.56881,1/17/2000,25
-4.96019,119.56881,1/18/2000,24.82
-4.96019,119.56881,1/19/2000,24.51
-4.96019,119.56881,1/20/2000,24.84
-4.96019,119.56881,1/21/2000,25.41
-4.96019,119.56881,1/22/2000,25.14
-4.96019,119.56881,1/23/2000,25.73
-4.96019,119.56881,1/24/2000,25.83
-4.96019,119.56881,1/25/2000,24.85
-4.96019,119.56881,1/26/2000,25.72
-4.96019,119.56881,1/27/2000,25.93
-4.96019,119.56881,1/28/2000,25.51
-4.96019,119.56881,1/29/2000,25.24
-4.96019,119.56881,1/30/2000,24.93
-4.96019,119.56881,1/31/2000,25.11
-4.96019,119.56881,2/1/2000,24.9
-4.96019,119.56881,2/2/2000,25.6
-4.96019,119.56881,2/3/2000,25.1
-4.96019,119.56881,2/4/2000,25.19
-4.96019,119.56881,2/5/2000,25.44
-4.96019,119.56881,2/6/2000,25.06
-4.96019,119.56881,2/7/2000,25.13
-4.96019,119.56881,2/8/2000,24.95
-4.96019,119.56881,2/9/2000,25.07
-4.96019,119.56881,2/10/2000,25.6
-4.96019,119.56881,2/11/2000,24.87
-4.96019,119.56881,2/12/2000,25.51
-4.96019,119.56881,2/13/2000,25.55
-4.96019,119.56881,2/14/2000,25.77
-4.96019,119.56881,2/15/2000,25.61
-4.96019,119.56881,2/16/2000,25.91
-4.96019,119.56881,2/17/2000,25.6
-4.96019,119.56881,2/18/2000,25.54
-4.96019,119.56881,2/19/2000,24.92
-4.96019,119.56881,2/20/2000,24.73
-4.96019,119.56881,2/21/2000,25.02
-4.96019,119.56881,2/22/2000,25.25
-4.96019,119.56881,2/23/2000,25.82
-4.96019,119.56881,2/24/2000,25.5
-4.96019,119.56881,2/25/2000,25.52
-4.96019,119.56881,2/26/2000,25.09
-4.96019,119.56881,2/27/2000,25.11
-4.96019,119.56881,2/28/2000,25.77
-4.96019,119.56881,2/29/2000,26.04
-4.96019,119.56881,3/1/2000,25.69
-4.96019,119.56881,3/2/2000,25.9
-4.96019,119.56881,3/3/2000,25.55
-4.96019,119.56881,3/4/2000,25.06
-4.96019,119.56881,3/5/2000,25.47
-4.96019,119.56881,3/6/2000,25.46
-4.96019,119.56881,3/7/2000,26.08
-4.96019,119.56881,3/8/2000,24.88
-4.96019,119.56881,3/9/2000,25.75
-4.96019,119.56881,3/10/2000,25.28
-4.96019,119.56881,3/11/2000,25.69
-4.96019,119.56881,3/12/2000,25.64
-4.96019,119.56881,3/13/2000,25.28
-4.96019,119.56881,3/14/2000,25.02
-4.96019,119.56881,3/15/2000,25.03
-4.96019,119.56881,3/16/2000,25.21
-4.96019,119.56881,3/17/2000,25.29
-4.96019,119.56881,3/18/2000,24.82
-4.96019,119.56881,3/19/2000,25.47
-4.96019,119.56881,3/20/2000,25.9
-4.96019,119.56881,3/21/2000,24.86
-4.96019,119.56881,3/22/2000,25
-4.96019,119.56881,3/23/2000,25.21
-4.96019,119.56881,3/24/2000,25.35
-4.96019,119.56881,3/25/2000,25.07
-4.96019,119.56881,3/26/2000,26
-4.96019,119.56881,3/27/2000,25.47
-4.96019,119.56881,3/28/2000,26.05
-4.96019,119.56881,3/29/2000,25.96
-4.96019,119.56881,3/30/2000,26.28
-4.96019,119.56881,3/31/2000,25.54
-4.96019,119.56881,4/1/2000,25.7
-4.96019,119.56881,4/2/2000,26.19
-4.96019,119.56881,4/3/2000,25.63
-4.96019,119.56881,4/4/2000,25.42
-4.96019,119.56881,4/5/2000,25.25
-4.96019,119.56881,4/6/2000,25.71
