LAT,LON,DATE,T2M,PRECTOT,RH2M
-5.04629,119.68471,1/1/2000,25.71,1.86,87.1
-5.04629,119.68471,1/2/2000,25.38,1.04,89.99
-5.04629,119.68471,1/3/2000,24.95,0.05,87.76
-5.04629,119.68471,1/4/2000,25.13,0.16,87.99
-5.04629,119.68471,1/5/2000,26.05,0.37,84.4
-5.04629,119.68471,1/6/2000,25.9,6.9,83.84
-5.04629,119.68471,1/7/2000,25.84,5.7,82.52
-5.04629,119.68471,1/8/2000,24.8,13.46,89.96
-5.04629,119.68471,1/9/2000,25.13,1.06,86.44
-5.04629,119.68471,1/10/2000,25.05,5.93,87.97
-5.04629,119.68471,1/11/2000,24.88,9,89.17
-5.04629,119.68471,1/12/2000,24.87,4.1,89
-5.04629,119.68471,1/13/2000,25.15,1.56,87.59
-5.04629,119.68471,1/14/2000,25.15,5.27,88.29
-5.04629,119.68471,1/15/2000,24.99,1.43,88.97
-5.04629,119.68471,1/16/2000,24.96,2.89,88.1
-5.04629,119.68471,1/17/2000,24.98,11.48,85.65
-5.04629,119.68471,1/18/2000,24.84,75.37,89.68
-5.04629,119.68471,1/19/2000,24.52,29.29,88.78
-5.04629,119.68471,1/20/2000,24.8,11.42,90
-5.04629,119.68471,1/21/2000,25.16,8.1,88.88
-5.04629,119.68471,1/22/2000,25.09,5.68,88.61
-5.04629,119.68471,1/23/2000,25.4,8.95,87.34
-5.04629,119.68471,1/24/2000,25.24,11.71,89.6
-5.04629,119.68471,1/25/2000,24.63,15.96,91.04
-5.04629,119.68471,1/26/2000,25.47,7.18,87.05
-5.04629,119.68471,1/27/2000,25.48,4,87.37
-5.04629,119.68471,1/28/2000,25.14,11.19,88.88
-5.04629,119.68471,1/29/2000,24.95,16.7,90.44
-5.04629,119.68471,1/30/2000,24.79,33.99,90.58
-5.04629,119.68471,1/31/2000,24.91,44.26,90.76
-5.04629,119.68471,2/1/2000,25.15,16.2,88.87
-5.04629,119.68471,2/2/2000,25.54,8.48,88.29
-5.04629,119.68471,2/3/2000,25.24,14.38,89.97
-5.04629,119.68471,2/4/2000,25.32,58.24,90.78
-5.04629,119.68471,2/5/2000,25.57,35.38,88.62
-5.04629,119.68471,2/6/2000,25.17,13.54,89.94
-5.04629,119.68471,2/7/2000,25.14,29.4,91.21
-5.04629,119.68471,2/8/2000,25.11,52.41,91.1
-5.04629,119.68471,2/9/2000,25.12,12.92,89.46
-5.04629,119.68471,2/10/2000,25.52,3.41,85.57
-5.04629,119.68471,2/11/2000,25.06,2.55,86.77
-5.04629,119.68471,2/12/2000,25.3,2.94,85.33
-5.04629,119.68471,2/13/2000,25.28,0.83,82.24
-5.04629,119.68471,2/14/2000,25.54,0.46,83.87
-5.04629,119.68471,2/15/2000,25.52,6.96,85.96
-5.04629,119.68471,2/16/2000,25.66,0.97,85.02
-5.04629,119.68471,2/17/2000,25.52,9.73,87.85
-5.04629,119.68471,2/18/2000,25.43,16.77,87.14
-5.04629,119.68471,2/19/2000,24.84,12.88,88.97
-5.04629,119.68471,2/20/2000,24.78,35.38,90.34
-5.04629,119.68471,2/21/2000,24.98,21.92,87.91
-5.04629,119.68471,2/22/2000,25.16,3.07,87.56
-5.04629,119.68471,2/23/2000,25.63,0.28,84.08
-5.04629,119.68471,2/24/2000,25.45,10.02,88.45
-5.04629,119.68471,2/25/2000,25.53,72.87,89.29
-5.04629,119.68471,2/26/2000,25.2,42.77,88.17
-5.04629,119.68471,2/27/2000,25.11,4.59,87.29
-5.04629,119.68471,2/28/2000,25.6,0.49,86.07
-5.04629,119.68471,2/29/2000,25.89,1.71,85.99
-5.04629,119.68471,3/1/2000,25.77,1.29,84.42
-5.04629,119.68471,3/2/2000,25.74,0.74,86.32
-5.04629,119.68471,3/3/2000,25.62,0.74,87.27
-5.04629,119.68471,3/4/2000,25.1,1.44,85.64
-5.04629,119.68471,3/5/2000,25.62,0.75,83.07
-5.04629,119.68471,3/6/2000,25.59,0.96,81.78
-5.04629,119.68471,3/7/2000,26.07,9.47,80.98
-5.04629,119.68471,3/8/2000,24.99,8.85,87.47
