LAT,LON,DATE,T2M
-5.10489,119.61511,1/1/2000,25.71
-5.10489,119.61511,1/2/2000,25.38
-5.10489,119.61511,1/3/2000,24.95
-5.10489,119.61511,1/4/2000,25.13
-5.10489,119.61511,1/5/2000,26.05
-5.10489,119.61511,1/6/2000,25.9
-5.10489,119.61511,1/7/2000,25.84
-5.10489,119.61511,1/8/2000,24.8
-5.10489,119.61511,1/9/2000,25.13
-5.10489,119.61511,1/10/2000,25.05
-5.10489,119.61511,1/11/2000,24.88
-5.10489,119.61511,1/12/2000,24.87
-5.10489,119.61511,1/13/2000,25.15
-5.10489,119.61511,1/14/2000,25.15
-5.10489,119.61511,1/15/2000,24.99
-5.10489,119.61511,1/16/2000,24.96
-5.10489,119.61511,1/17/2000,24.98
-5.10489,119.61511,1/18/2000,24.84
-5.10489,119.61511,1/19/2000,24.52
-5.10489,119.61511,1/20/2000,24.8
-5.10489,119.61511,1/21/2000,25.16
-5.10489,119.61511,1/22/2000,25.09
-5.10489,119.61511,1/23/2000,25.4
-5.10489,119.61511,1/24/2000,25.24
-5.10489,119.61511,1/25/2000,24.63
-5.10489,119.61511,1/26/2000,25.47
-5.10489,119.61511,1/27/2000,25.48
-5.10489,119.61511,1/28/2000,25.14
-5.10489,119.61511,1/29/2000,24.95
-5.10489,119.61511,1/30/2000,24.79
-5.10489,119.61511,1/31/2000,24.91
-5.10489,119.61511,2/1/2000,25.15
-5.10489,119.61511,2/2/2000,25.54
-5.10489,119.61511,2/3/2000,25.24
-5.10489,119.61511,2/4/2000,25.32
-5.10489,119.61511,2/5/2000,25.57
-5.10489,119.61511,2/6/2000,25.17
-5.10489,119.61511,2/7/2000,25.14
-5.10489,119.61511,2/8/2000,25.11
-5.10489,119.61511,2/9/2000,25.12
-5.10489,119.61511,2/10/2000,25.52
-5.10489,119.61511,2/11/2000,25.06
-5.10489,119.61511,2/12/2000,25.3
-5.10489,119.61511,2/13/2000,25.28
-5.10489,119.61511,2/14/2000,25.54
-5.10489,119.61511,2/15/2000,25.52
-5.10489,119.61511,2/16/2000,25.66
-5.10489,119.61511,2/17/2000,25.52
-5.10489,119.61511,2/18/2000,25.43
-5.10489,119.61511,2/19/2000,24.84
-5.10489,119.61511,2/20/2000,24.78
-5.10489,119.61511,2/21/2000,24.98
-5.10489,119.61511,2/22/2000,25.16
-5.10489,119.61511,2/23/2000,25.63
-5.10489,119.61511,2/24/2000,25.45
-5.10489,119.61511,2/25/2000,25.53
-5.10489,119.61511,2/26/2000,25.2
-5.10489,119.61511,2/27/2000,25.11
-5.10489,119.61511,2/28/2000,25.6
-5.10489,119.61511,2/29/2000,25.89
-5.10489,119.61511,3/1/2000,25.77
-5.10489,119.61511,3/2/2000,25.74
-5.10489,119.61511,3/3/2000,25.62
-5.10489,119.61511,3/4/2000,25.1
-5.10489,119.61511,3/5/2000,25.62
-5.10489,119.61511,3/6/2000,25.59
-5.10489,119.61511,3/7/2000,26.07
-5.10489,119.61511,3/8/2000,24.99
-5.10489,119.61511,3/9/2000,25.73
-5.10489,119.61511,3/10/2000,25.4
-5.10489,119.61511,3/11/2000,25.62
-5.10489,119.61511,3/12/2000,25.54
-5.10489,119.61511,3/13/2000,25.27
-5.10489,119.61511,3/14/2000,25.19
-5.10489,119.61511,3/15/2000,25.29
-5.10489,119.61511,3/16/2000,25.39
-5.10489,119.61511,3/17/2000,25.26
-5.10489,119.61511,3/18/2000,24.87
-5.10489,119.61511,3/19/2000,25.24
-5.10489,119.61511,3/20/2000,25.8
-5.10489,119.61511,3/21/2000,24.98
-5.10489,119.61511,3/22/2000,24.95
-5.10489,119.61511,3/23/2000,25.22
-5.10489,119.61511,3/24/2000,25.08
-5.10489,119.61511,3/25/2000,24.86
-5.10489,119.61511,3/26/2000,25.81
-5.10489,119.61511,3/27/2000,25.75
-5.10489,119.61511,3/28/2000,26.13
-5.10489,119.61511,3/29/2000,25.84
-5.10489,119.61511,3/30/2000,26.18
-5.10489,119.61511,3/31/2000,25.91
-5.10489,119.61511,4/1/2000,25.91
-5.10489,119.61511,4/2/2000,26.09
-5.10489,119.61511,4/3/2000,25.87
-5.10489,119.61511,4/4/2000,25.59
-5.10489,119.61511,4/5/2000,25.26
-5.10489,119.61511,4/6/2000,25.8
-5.10489,119.61511,4/7/2000,25.08
-5.10489,119.61511,4/8/2000,25.64
-5.10489,119.61511,4/9/2000,25.61
-5.10489,119.61511,4/10/2000,25.35
-5.10489,119.61511,4/11/2000,26.09
-5.10489,119.61511,4/12/2000,26.46
-5.10489,119.61511,4/13/2000,25.88
-5.10489,119.61511,4/14/2000,25.17
-5.10489,119.61511,4/15/2000,25.63
-5.10489,119.61511,4/16/2000,26.23
-5.10489,119.61511,4/17/2000,26.18
-5.10489,119.61511,4/18/2000,25.88
-5.10489,119.61511,4/19/2000,26.03
-5.10489,119.61511,4/20/2000,26.12
-5.10489,119.61511,4/21/2000,25.79
-5.10489,119.61511,4/22/2000,26.16
-5.10489,119.61511,4/23/2000,26.13
-5.10489,119.61511,4/24/2000,25.83
-5.10489,119.61511,4/25/2000,25.54
-5.10489,119.61511,4/26/2000,26.23
-5.10489,119.61511,4/27/2000,25.84
-5.10489,119.61511,4/28/2000,25.97
-5.10489,119.61511,4/29/2000,25.41
-5.10489,119.61511,4/30/2000,25.48
-5.10489,119.61511,5/1/2000,25.61
-5.10489,119.61511,5/2/2000,25.9
-5.10489,119.61511,5/3/2000,26.15
-5.10489,119.61511,5/4/2000,26.12
-5.10489,119.61511,5/5/2000,26.09
-5.10489,119.61511,5/6/2000,26.07
-5.10489,119.61511,5/7/2000,25.84
-5.10489,119.61511,5/8/2000,25.56
-5.10489,119.61511,5/9/2000,25.46
-5.10489,119.61511,5/10/2000,26.23
-5.10489,119.61511,5/11/2000,26.07
-5.10489,119.61511,5/12/2000,26.4
-5.10489,119.61511,5/13/2000,26.58
-5.10489,119.61511,5/14/2000,26.66
-5.10489,119.61511,5/15/2000,26.28
-5.10489,119.61511,5/16/2000,26.13
-5.10489,119.61511,5/17/2000,25.46
-5.10489,119.61511,5/18/2000,25.08
-5.10489,119.61511,5/19/2000,25.58
-5.10489,119.61511,5/20/2000,26.4
-5.10489,119.61511,5/21/2000,26.31
-5.10489,119.61511,5/22/2000,26.02
-5.10489,119.61511,5/23/2000,26.05
-5.10489,119.61511,5/24/2000,26.47
-5.10489,119.61511,5/25/2000,26.38
-5.10489,119.61511,5/26/2000,25.16
-5.10489,119.61511,5/27/2000,25.13
-5.10489,119.61511,5/28/2000,25.11
-5.10489,119.61511,5/29/2000,25.17
-5.10489,119.61511,5/30/2000,25.36
-5.10489,119.61511,5/31/2000,24.91
-5.10489,119.61511,6/1/2000,25.06
-5.10489,119.61511,6/2/2000,24.85
-5.10489,119.61511,6/3/2000,25.35
-5.10489,119.61511,6/4/2000,25.56
-5.10489,119.61511,6/5/2000,25.44
-5.10489,119.61511,6/6/2000,25.88
-5.10489,119.61511,6/7/2000,25.83
-5.10489,119.61511,6/8/2000,25.88
-5.10489,119.61511,6/9/2000,25.58
-5.10489,119.61511,6/10/2000,25.37
-5.10489,119.61511,6/11/2000,25.6
-5.10489,119.61511,6/12/2000,25.54
