;DATE;T2M;PRECTOT;RH2M
0;2000-01-01;25.84;1.91;87.27
1;2000-01-02;25.21;0.72;91.6
2;2000-01-03;25.02;0.06;88.16
3;2000-01-04;25.1;0.06;89.18
4;2000-01-05;25.89;0.52;85.62
5;2000-01-06;25.96;6.23;84.4
6;2000-01-07;26.04;6.8;82.06
7;2000-01-08;24.65;11.36;91.51
8;2000-01-09;25.23;0.52;86.28
9;2000-01-10;24.86;4.86;89.26
10;2000-01-11;24.91;8.82;90.12
11;2000-01-12;24.77;3.22;90.89
12;2000-01-13;25.08;1.02;88.53
13;2000-01-14;25.24;5.14;88.61
14;2000-01-15;24.96;0.9;90.0
15;2000-01-16;25.05;2.21;88.21
16;2000-01-17;25.0;13.86;86.92
17;2000-01-18;24.82;64.83;90.27
18;2000-01-19;24.51;26.94;89.04
19;2000-01-20;24.84;8.79;90.24
20;2000-01-21;25.41;5.09;88.0
21;2000-01-22;25.14;5.96;88.9
22;2000-01-23;25.73;8.9;85.39
23;2000-01-24;25.83;11.19;88.65
24;2000-01-25;24.85;14.32;90.25
25;2000-01-26;25.72;6.43;85.59
26;2000-01-27;25.93;4.07;85.23
27;2000-01-28;25.51;10.1;88.07
28;2000-01-29;25.24;18.74;90.77
29;2000-01-30;24.93;39.65;90.47
30;2000-01-31;25.11;32.32;90.94
31;2000-02-01;24.9;13.3;91.27
32;2000-02-02;25.6;7.31;88.6
33;2000-02-03;25.1;14.91;91.25
34;2000-02-04;25.19;54.31;92.29
35;2000-02-05;25.44;32.2;89.53
36;2000-02-06;25.06;14.3;90.88
37;2000-02-07;25.13;31.29;92.13
38;2000-02-08;24.95;46.34;92.53
39;2000-02-09;25.07;13.34;90.54
40;2000-02-10;25.6;2.93;84.92
41;2000-02-11;24.87;3.29;87.76
42;2000-02-12;25.51;1.9;84.53
43;2000-02-13;25.55;0.61;81.75
44;2000-02-14;25.77;0.69;84.51
45;2000-02-15;25.61;6.29;85.98
46;2000-02-16;25.91;0.89;83.39
47;2000-02-17;25.6;8.96;88.05
48;2000-02-18;25.54;14.75;87.64
49;2000-02-19;24.92;11.98;90.87
50;2000-02-20;24.73;31.24;92.04
51;2000-02-21;25.02;18.72;88.62
52;2000-02-22;25.25;2.05;87.44
53;2000-02-23;25.82;0.14;83.49
54;2000-02-24;25.5;10.47;89.08
55;2000-02-25;25.52;70.2;90.0
56;2000-02-26;25.09;34.37;89.2
57;2000-02-27;25.11;4.71;87.79
58;2000-02-28;25.77;0.28;85.49
59;2000-02-29;26.04;1.96;85.55
60;2000-03-01;25.69;1.12;84.15
61;2000-03-02;25.9;0.5;84.98
62;2000-03-03;25.55;0.86;87.92
63;2000-03-04;25.06;1.47;86.47
64;2000-03-05;25.47;0.73;83.28
65;2000-03-06;25.46;1.09;81.71
66;2000-03-07;26.08;8.78;80.61
67;2000-03-08;24.88;8.45;88.6
68;2000-03-09;25.75;1.41;81.53
69;2000-03-10;25.28;21.37;88.81
70;2000-03-11;25.69;1.26;83.4
71;2000-03-12;25.64;4.96;86.67
72;2000-03-13;25.28;12.07;88.08
73;2000-03-14;25.02;18.86;89.43
74;2000-03-15;25.03;6.82;89.98
75;2000-03-16;25.21;11.75;89.65
76;2000-03-17;25.29;6.13;87.33
77;2000-03-18;24.82;4.06;89.74
78;2000-03-19;25.47;9.41;84.91
79;2000-03-20;25.9;6.45;87.26
80;2000-03-21;24.86;11.59;92.6
81;2000-03-22;25.0;3.64;90.04
82;2000-03-23;25.21;1.04;86.31
83;2000-03-24;25.35;0.3;84.24
84;2000-03-25;25.07;0.91;86.34
85;2000-03-26;26.0;0.22;80.9
86;2000-03-27;25.47;0.98;84.98
87;2000-03-28;26.05;2.78;83.1
88;2000-03-29;25.96;10.53;87.22
89;2000-03-30;26.28;5.43;83.35
90;2000-03-31;25.54;2.65;89.01
91;2000-04-01;25.7;1.65;84.71
92;2000-04-02;26.19;0.94;84.2
93;2000-04-03;25.63;1.47;88.08
94;2000-04-04;25.42;30.13;90.83
95;2000-04-05;25.25;8.33;88.88
96;2000-04-06;25.71;2.36;86.77
97;2000-04-07;25.01;1.72;90.26
98;2000-04-08;25.72;4.49;86.06
99;2000-04-09;25.68;4.35;85.9
100;2000-04-10;25.85;0.87;83.91
101;2000-04-11;26.25;1.53;84.06
102;2000-04-12;26.53;26.38;83.31
103;2000-04-13;25.52;13.44;89.32
104;2000-04-14;25.33;1.64;87.12
105;2000-04-15;25.61;2.26;88.81
106;2000-04-16;26.22;2.38;85.34
107;2000-04-17;26.18;2.98;84.27
108;2000-04-18;25.62;4.94;85.28
109;2000-04-19;26.03;1.6;83.98
110;2000-04-20;26.16;14.05;85.99
111;2000-04-21;25.76;4.19;89.77
112;2000-04-22;26.41;4.89;85.13
113;2000-04-23;26.04;6.03;87.0
114;2000-04-24;25.95;7.61;87.47
115;2000-04-25;25.76;5.62;89.27
116;2000-04-26;26.19;2.45;84.48
117;2000-04-27;25.58;7.39;90.78
118;2000-04-28;25.69;9.09;91.28
119;2000-04-29;25.37;8.09;91.67
120;2000-04-30;25.56;6.74;87.13
121;2000-05-01;25.76;6.31;86.75
122;2000-05-02;25.84;3.23;86.15
123;2000-05-03;26.21;2.94;81.91
124;2000-05-04;25.97;2.12;82.15
125;2000-05-05;26.11;1.03;82.25
126;2000-05-06;26.21;3.2;82.96
127;2000-05-07;26.02;5.47;85.07
128;2000-05-08;25.6;2.8;84.84
129;2000-05-09;25.37;3.29;85.23
130;2000-05-10;26.67;0.45;75.81
131;2000-05-11;26.39;0.09;79.93
132;2000-05-12;26.85;0.48;79.01
133;2000-05-13;26.91;0.58;80.48
