DATE,T2M,PRECTOT,RH2M
1/1/2000,-0.493632518,-0.391003255,0.922571451
1/2/2000,-1.095557474,-0.529611983,1.441564421
1/3/2000,-1.277090397,-0.606487412,1.029246681
1/4/2000,-1.200655482,-0.606487412,1.151503685
1/5/2000,-0.445860696,-0.552907568,0.724802768
1/6/2000,-0.378980145,0.112181372,0.578573802
1/7/2000,-0.30254523,0.178573788,0.29810185
1/8/2000,-1.63060188,0.709713117,1.430777039
1/9/2000,-1.076448745,-0.552907568,0.803910241
1/10/2000,-1.429960228,-0.047393382,1.16109247
1/11/2000,-1.382188406,0.413859192,1.264171905
1/12/2000,-1.515949507,-0.238417176,1.356463958
1/13/2000,-1.219764211,-0.494668606,1.07359481
1/14/2000,-1.066894381,-0.014779564,1.083183595
1/15/2000,-1.334416584,-0.508645957,1.249788728
1/16/2000,-1.248427304,-0.356059878,1.035239671
1/17/2000,-1.296199126,1.000907924,0.880620518
1/18/2000,-1.468177685,6.937787655,1.282150876
1/19/2000,-1.764362981,2.524439156,1.134723312
1/20/2000,-1.449068956,0.410364855,1.278555082
1/21/2000,-0.904470186,-0.02060346,1.010069111
1/22/2000,-1.162438025,0.080732333,1.117942939
1/23/2000,-0.598730526,0.423177426,0.697235012
1/24/2000,-0.503186882,0.68991187,1.087977987
1/25/2000,-1.439514592,1.054487768,1.27975368
1/26/2000,-0.60828489,0.135476957,0.721206973
1/27/2000,-0.407643238,-0.139410941,0.678057442
1/28/2000,-0.808926542,0.562950934,1.018459298
1/29/2000,-1.066894381,1.569320188,1.342080781
1/30/2000,-1.363079677,4.004873556,1.306122838
1/31/2000,-1.191101118,3.151090381,1.362456948
2/1/2000,-1.39174277,0.935680287,1.402010685
2/2/2000,-0.722937263,0.237977529,1.081984996
2/3/2000,-1.200655482,1.123209743,1.399613489
2/4/2000,-1.114666203,5.712439906,1.524267689
2/5/2000,-0.875807093,3.13711303,1.193454618
2/6/2000,-1.23887294,1.05215821,1.355265359
2/7/2000,-1.171992389,3.03111812,1.50509012
2/8/2000,-1.343970948,4.78411086,1.553034043
2/9/2000,-1.229318576,0.940339404,1.314513025
2/10/2000,-0.722937263,-0.272195774,0.640900902
2/11/2000,-1.420405863,-0.230263721,0.981302757
2/12/2000,-0.808926542,-0.392168034,0.594155577
2/13/2000,-0.770709085,-0.542424555,0.260945309
2/14/2000,-0.560513068,-0.533106321,0.59175838
2/15/2000,-0.713382899,0.119170047,0.767952299
2/16/2000,-0.426751967,-0.509810736,0.457515395
2/17/2000,-0.722937263,0.430166102,1.016062102
2/18/2000,-0.780263449,1.104573275,0.96691958
2/19/2000,-1.372634041,0.781929429,1.354066761
2/20/2000,-1.554166965,3.025294224,1.494302737
2/21/2000,-1.277090397,1.566990629,1.084382193
2/22/2000,-1.057340017,-0.374696346,0.942947619
2/23/2000,-0.512741246,-0.597169178,0.469501376
2/24/2000,-0.818480907,0.606047765,1.139517704
2/25/2000,-0.799372178,7.563274101,1.249788728
2/26/2000,-1.210209847,3.389870123,1.153900881
2/27/2000,-1.191101118,-0.064865071,0.984898552
2/28/2000,-0.560513068,-0.580862269,0.709220993
2/29/2000,-0.30254523,-0.385179359,0.716412581
3/1/2000,-0.636947983,-0.483020814,0.548608849
3/2/2000,-0.436306331,-0.555237126,0.64809249
3/3/2000,-0.770709085,-0.513305074,1.000480327
3/4/2000,-1.23887294,-0.442253541,0.826683605
3/5/2000,-0.847144,-0.528447204,0.444330816
3/6/2000,-0.856698364,-0.486515152,0.256150917
3/7/2000,-0.264327772,0.409200076,0.124305128
3/8/2000,-1.410851499,0.370762361,1.081984996
3/9/2000,-0.579621797,-0.449242216,0.234576152
3/10/2000,-1.028676923,1.875657125,1.107155556
3/11/2000,-0.636947983,-0.466713905,0.458713993
3/12/2000,-0.684719805,-0.03574559,0.850655566
3/13/2000,-1.028676923,0.792412442,1.019657896
3/14/2000,-1.277090397,1.583297538,1.181468637
3/15/2000,-1.267536033,0.180903347,1.247391532
3/16/2000,-1.095557474,0.755139507,1.207837795
3/17/2000,-1.019122559,0.10053358,0.92976304
3/18/2000,-1.468177685,-0.140575721,1.218625178
3/19/2000,-0.847144,0.482581167,0.639702304
3/20/2000,-0.436306331,0.137806515,0.921372853
3/21/2000,-1.429960228,0.736503039,1.56142423
3/22/2000,-1.296199126,-0.189496448,1.25458312
3/23/2000,-1.095557474,-0.492339048,0.807506035
3/24/2000,-0.961796373,-0.578532711,0.559396232
3/25/2000,-1.229318576,-0.507481178,0.81110183
3/26/2000,-0.340762687,-0.587850945,0.159064472
3/27/2000,-0.847144,-0.499327723,0.64809249
3/28/2000,-0.292990865,-0.289667462,0.422756051
3/29/2000,-0.378980145,0.613036441,0.916578461
3/30/2000,-0.073240484,0.018999034,0.452721003
3/31/2000,-0.780263449,-0.304809592,1.131127518
4/1/2000,-0.627393619,-0.421287515,0.615730342
4/2/2000,-0.159229764,-0.50398684,0.55460184
4/3/2000,-0.69427417,-0.442253541,1.019657896
4/4/2000,-0.894915822,2.89600373,1.349272369
4/5/2000,-1.057340017,0.35678501,1.115545743
4/6/2000,-0.617839255,-0.33858819,0.862641547
4/7/2000,-1.286644762,-0.41313406,1.280952278
4/8/2000,-0.60828489,-0.090490214,0.777541083
4/9/2000,-0.646502348,-0.106797123,0.758363514
4/10/2000,-0.484078153,-0.512140295,0.519842495
4/11/2000,-0.101903578,-0.435264866,0.537821467
4/12/2000,0.165618625,2.459211519,0.44792661
4/13/2000,-0.799372178,0.951987196,1.168284058
4/14/2000,-0.980905101,-0.422452294,0.90459248
4/15/2000,-0.713382899,-0.350235982,1.107155556
4/16/2000,-0.130566671,-0.336258631,0.691242021
4/17/2000,-0.168784128,-0.266371877,0.562992026
4/18/2000,-0.703828534,-0.038075148,0.684050433
4/19/2000,-0.312099594,-0.427111411,0.528232682
4/20/2000,-0.187892857,1.023038729,0.769150897
4/21/2000,-0.570067433,-0.125433591,1.222220972
4/22/2000,0.050966253,-0.043899045,0.666071462
4/23/2000,-0.30254523,0.088885787,0.890209303
4/24/2000,-0.388534509,0.272920906,0.946543413
4/25/2000,-0.570067433,0.041129839,1.162291068
4/26/2000,-0.159229764,-0.328105177,0.588162586
4/27/2000,-0.742045992,0.247295763,1.343279379
4/28/2000,-0.636947983,0.445308232,1.403209283
4/29/2000,-0.942687644,0.328830309,1.449954608
4/30/2000,-0.76115472,0.171585113,0.905791078
5/1/2000,-0.570067433,0.121499606,0.860244351
5/2/2000,-0.493632518,-0.237252397,0.788328466
5/3/2000,-0.140121035,-0.271030994,0.280122879
5/4/2000,-0.369425781,-0.366542891,0.308889233
5/5/2000,-0.235664679,-0.493503827,0.320875214
5/6/2000,-0.140121035,-0.240746734,0.405975678
5/7/2000,-0.321653959,0.023658151,0.658879873
5/8/2000,-0.722937263,-0.287337904,0.631312117
5/9/2000,-0.942687644,-0.230263721,0.678057442
5/10/2000,0.299379727,-0.561061022,-0.451021952
5/11/2000,0.031857524,-0.602993075,0.042800458
5/12/2000,0.471358286,-0.557566685,-0.067470565
5/13/2000,0.528684472,-0.545918892,0.108723353
5/14/2000,0.56690193,-0.357224657,-0.421057
5/15/2000,-0.111457942,0.012010358,0.69843361
5/16/2000,-0.159229764,-0.203473799,0.788328466
5/17/2000,-0.742045992,-0.134751824,0.803910241
5/18/2000,-0.818480907,-0.330434735,0.784732672
5/19/2000,-0.837589636,-0.424781853,0.838669586
5/20/2000,0.146509896,-0.304809592,0.173447649
5/21/2000,-0.130566671,-0.481856035,0.767952299
5/22/2000,-0.484078153,-0.305974371,1.030445279
5/23/2000,-0.121012306,-0.432935307,0.365223343
5/24/2000,0.117846803,-0.363048553,0.258548113
5/25/2000,0.203836083,-0.36770767,0.371216333
5/26/2000,-1.095557474,0.318347296,1.276157886
5/27/2000,-1.047785652,0.610706882,1.002877523
5/28/2000,-1.353525313,-0.3828498,1.237802747
5/29/2000,-0.933133279,-0.573873594,0.497069132
5/30/2000,-1.191101118,-0.388673696,1.004076121
5/31/2000,-1.343970948,-0.012450005,1.212632188
6/1/2000,-1.200655482,1.840713748,1.493104139
6/2/2000,-1.449068956,0.093544904,1.766384502
6/3/2000,-0.961796373,-0.220945487,1.181468637
6/4/2000,-0.76115472,-0.389838476,0.439536424
6/5/2000,-0.828035271,-0.592510062,0.224987367
6/6/2000,-0.398088874,-0.417793177,0.66727006
6/7/2000,-0.273882137,-0.103302785,0.821889212
6/8/2000,-0.54140434,0.090050567,0.914181265
6/9/2000,-0.789817814,-0.146399617,0.790725662
6/10/2000,-1.08600311,1.395768083,0.87342893
6/11/2000,-0.646502348,-0.205803357,0.524636888
6/12/2000,-0.589176161,-0.477196918,0.646893892
6/13/2000,-0.665611077,-0.339752969,0.658879873
6/14/2000,-0.703828534,-0.363048553,0.44193362
6/15/2000,-0.904470186,0.193715918,0.932160236
6/16/2000,-1.210209847,-0.205803357,1.27376069
6/17/2000,-0.512741246,-0.528447204,0.395188295
6/18/2000,-0.675165441,-0.24657063,0.607340156
6/19/2000,-0.866252729,0.292722153,0.984898552
6/20/2000,-1.219764211,0.420847868,1.393620498
6/21/2000,-0.866252729,0.437154777,1.121538733
6/22/2000,-1.324862219,-0.408474943,1.127531724
6/23/2000,-1.162438025,-0.218615929,0.612134548
6/24/2000,-1.105111838,-0.330434735,0.479090161
6/25/2000,-1.038231288,-0.481856035,0.342449979
6/26/2000,-1.821689168,0.560621375,1.085580791
6/27/2000,-1.974558998,-0.289667462,1.179071441
6/28/2000,-1.697482431,0.091215346,1.061608829
6/29/2000,-1.86946099,-0.314127826,0.910585471
6/30/2000,-1.506395143,-0.501657282,0.445529414
7/1/2000,-1.114666203,-0.499327723,0.413167266
7/2/2000,-1.038231288,-0.409639723,0.630113519
7/3/2000,-0.971350737,0.045788956,0.76076071
7/4/2000,-1.15288366,2.278670738,1.117942939
7/5/2000,-0.732491627,-0.017109122,0.851854164
7/6/2000,-1.687928066,-0.402651047,1.127531724
7/7/2000,-1.687928066,-0.476032139,0.812300428
7/8/2000,-1.745254253,-0.536600659,0.64809249
